Member_number,itemDescription
4999,whipped/sour cream
4999,bottled water
4999,herbs
4999,kitchen towels
4999,berries
4999,butter milk
4999,napkins
4999,other vegetables
4999,onions
4999,yogurt
4999,semi-finished bread
4999,tropical fruit
4999,detergent
4998,curd
4998,rolls/buns
4997,curd
4997,whole milk
4997,grapes
4997,white wine
4997,canned beer
4997,tropical fruit
4992,whole milk
4992,margarine
4992,frankfurter
4992,pip fruit
4992,napkins
4992,other vegetables
4992,canned beer
4992,sparkling wine
4992,specialty bar
4990,baking powder
4990,sausage
4990,soda
4990,specialty chocolate
4990,salty snack
4990,tropical fruit
4990,cream cheese
4989,mustard
4989,rolls/buns
4989,pip fruit
4989,butter
4989,root vegetables
4989,ice cream
4989,white bread
4989,chocolate
4988,canned beer
4988,specialty bar
4988,beverages
4988,specialty chocolate
4988,butter
4988,pork
4988,rolls/buns
4988,misc. beverages
4988,other vegetables
4988,frozen vegetables
4988,curd
4988,sugar
4985,rolls/buns
4985,whole milk
4985,pickled vegetables
4985,dessert
4985,hard cheese
4985,root vegetables
4985,shopping bags
4980,meat
4980,domestic eggs
4978,grapes
4978,pork
4977,bottled beer
4977,soft cheese
4977,whole milk
4977,pip fruit
4977,packaged fruit/vegetables
4977,pastry
4977,rolls/buns
4977,domestic eggs
4974,shopping bags
4974,root vegetables
4974,seasonal products
4974,rolls/buns
4971,hygiene articles
4971,soda
4971,baking powder
4971,sausage
4971,fruit/vegetable juice
4968,herbs
4968,canned vegetables
4968,bottled beer
4968,margarine
4968,beef
4966,soda
4966,sausage
4966,fruit/vegetable juice
4966,curd
4966,packaged fruit/vegetables
4966,margarine
4965,canned beer
4965,whole milk
4965,ham
4964,frankfurter
4964,whole milk
4964,yogurt
4964,domestic eggs
4963,other vegetables
4963,bottled beer
4963,tropical fruit
4963,whole milk
4963,hygiene articles
4963,white wine
4963,canned fish
4962,whole milk
4962,chocolate
4962,yogurt
4962,napkins
4962,hygiene articles
4962,condensed milk
4962,cat food
4962,pip fruit
4958,coffee
4958,tropical fruit
4958,specialty chocolate
4958,instant coffee
4958,oil
4958,other vegetables
4958,chewing gum
4958,frozen meals
4958,margarine
4958,waffles
4958,butter
4958,chicken
4957,butter
4957,whole milk
4957,frozen meals
4957,detergent
4957,bottled beer
4957,misc. beverages
4955,canned fish
4955,sliced cheese
4955,processed cheese
4955,white bread
4955,sausage
4955,other vegetables
4954,soda
4954,whole milk
4954,grapes
4954,UHT-milk
4954,root vegetables
4954,frankfurter
4954,beverages
4951,pork
4951,beef
4951,canned beer
4951,other vegetables
4951,root vegetables
4951,whole milk
4951,pastry
4951,tropical fruit
4951,seasonal products
4951,pip fruit
4950,shopping bags
4950,margarine
4950,soft cheese
4950,rolls/buns
4950,UHT-milk
4950,other vegetables
4950,chewing gum
4950,instant coffee
4949,rolls/buns
4949,frozen fish
4948,curd
4948,sliced cheese
4948,root vegetables
4948,other vegetables
4947,yogurt
4947,citrus fruit
4947,frozen potato products
4947,chewing gum
4947,white wine
4947,whole milk
4947,dessert
4947,dishes
4947,soda
4947,chicken
4947,rum
4947,rolls/buns
4946,roll products
4946,other vegetables
4946,yogurt
4946,frozen meals
4946,chocolate
4946,fruit/vegetable juice
4946,sausage
4946,coffee
4946,bottled beer
4946,hard cheese
4946,soft cheese
4946,hygiene articles
4944,domestic eggs
4944,salty snack
4944,semi-finished bread
4944,meat
4944,other vegetables
4944,dishes
4944,white bread
4944,bottled beer
4943,brown bread
4943,soda
4943,finished products
4943,sausage
4943,rolls/buns
4943,other vegetables
4941,ham
4941,soda
4941,canned beer
4941,white wine
4941,hamburger meat
4941,fruit/vegetable juice
4941,pickled vegetables
4941,meat
4941,yogurt
4941,coffee
4941,rolls/buns
4941,butter milk
4941,bottled beer
4941,chocolate marshmallow
4941,white bread
4941,pasta
4941,salty snack
4941,whole milk
4941,citrus fruit
4941,liquor
4941,domestic eggs
4940,sliced cheese
4940,coffee
4940,liquor
4940,rum
4940,soda
4940,dessert
4939,citrus fruit
4939,chicken
4939,bottled beer
4939,whole milk
4939,soda
4939,other vegetables
4939,hygiene articles
4939,brown bread
4939,curd
4939,margarine
4939,canned beer
4939,whipped/sour cream
4939,beef
4939,fruit/vegetable juice
4938,dessert
4938,mayonnaise
4938,shopping bags
4938,other vegetables
4938,sausage
4938,whole milk
4938,frozen vegetables
4938,pip fruit
4938,berries
4938,brown bread
4938,UHT-milk
4938,whipped/sour cream
4938,tropical fruit
4938,meat
4936,sausage
4936,root vegetables
4936,spread cheese
4936,tropical fruit
4935,tropical fruit
4935,bottled beer
4935,cling film/bags
4935,root vegetables
4935,soda
4935,cat food
4934,root vegetables
4934,curd
4934,rolls/buns
4934,bottled beer
4934,other vegetables
4934,canned beer
4934,meat
4932,pastry
4932,pip fruit
4932,specialty chocolate
4932,fruit/vegetable juice
4932,whole milk
4932,soda
4932,tropical fruit
4932,UHT-milk
4932,root vegetables
4932,brown bread
4932,beverages
4932,bottled beer
4926,salty snack
4926,rolls/buns
4925,shopping bags
4925,brown bread
4925,sparkling wine
4925,rolls/buns
4925,pip fruit
4925,whipped/sour cream
4925,bottled water
4925,ketchup
4924,pastry
4924,yogurt
4924,salty snack
4924,other vegetables
4924,whole milk
4924,beef
